pclass,sex,age,sibsp,parch,fare,embarked,title,ticketHeader,ticketNumber,cabinLetter,cabinNumber,child,parent,othersAlive,othersDrown
1,female,25,1,0,55.4417,C,Mrs,NA,11765,E,50,0,0,1,0
3,female,,1,9,69.55,S,Mrs,C,2343,NA,,0,1,0,7
3,male,,1,0,14.4583,C,Mr,NA,2689,NA,,0,0,0,1
3,female,22,0,0,39.6875,S,Miss,NA,3101295,NA,,0,0,0,0
1,female,45,0,1,59.4,C,Mrs,NA,112378,NA,,0,1,0,0
2,male,29,0,0,13.8583,C,Mr,SCPARIS,2147,NA,,0,0,0,0
2,male,21,1,0,11.5,S,Mr,NA,28133,NA,,0,0,0,1
1,female,31,0,0,134.5,C,Miss,NA,16966,E,41,0,0,0,0
1,male,49,0,0,0,S,Mr,NA,112058,B,54,0,0,0,0
2,male,44,0,0,13,S,Mr,NA,248746,NA,,0,0,0,0
1,female,54,1,1,81.8583,S,Mrs,NA,33638,A,34,0,1,1,0
1,female,45,0,0,262.375,C,Miss,P,17608,B,61,0,0,0,0
3,female,22,2,0,8.6625,S,Miss,NA,315152,NA,,0,0,1,1
2,male,21,0,0,11.5,S,Mr,NA,29107,NA,,0,0,0,0
1,male,55,0,0,50,S,Mr,NA,680,C,39,0,0,0,0
3,male,5,4,2,31.3875,S,Master,NA,347077,NA,,1,0,3,1
3,male,,0,0,7.75,Q,Mr,NA,366713,NA,,0,0,0,0
3,male,26,0,0,7.8792,Q,Mr,NA,330910,NA,,0,0,0,0
3,female,,0,0,14.5,S,Mrs,NA,364498,NA,,0,0,0,0
3,female,19,1,0,16.1,S,Mrs,NA,376566,NA,,0,0,0,1
2,male,,0,0,12.875,S,Mr,SCPARIS,2159,NA,,0,0,0,0
2,female,24,1,2,65,S,Miss,NA,220845,NA,,1,0,2,0
3,male,24,0,0,7.775,S,Mr,NA,349911,NA,,0,0,0,0
2,male,57,0,0,13,S,Mr,NA,244346,NA,,0,0,0,0
3,male,21,0,0,7.75,Q,Mr,NA,364858,NA,,0,0,0,0
3,male,6,3,1,21.075,S,Master,NA,349909,NA,,1,0,0,4
1,male,23,0,0,93.5,S,Mr,NA,12749,B,24,0,0,0,0
1,female,51,0,1,39.4,S,Mrs,P,17592,D,28,0,1,1,0
3,male,13,0,2,20.25,S,Master,C,2673,NA,,1,0,1,1
2,male,47,0,0,10.5,S,Mr,C,30769,NA,,0,0,0,0
3,male,29,3,1,22.025,S,Mr,NA,315153,NA,,0,1,1,1
1,female,18,1,0,60,S,Mrs,NA,13695,C,31,0,0,0,0
3,male,24,0,0,7.25,Q,Mr,NA,371109,NA,,0,0,0,0
1,female,48,1,1,79.2,C,Mrs,NA,13567,B,41,0,1,2,0
3,male,22,0,0,7.775,S,Mr,NA,347065,NA,,0,0,0,0
3,male,31,0,0,7.7333,Q,Mr,NA,21332,NA,,0,0,0,0
1,female,30,0,0,164.8667,S,Miss,NA,36928,C,7,0,0,0,0
2,male,38,1,0,21,S,Mr,NA,28664,NA,,0,0,0,1
1,female,22,0,1,59.4,C,Miss,NA,112378,NA,,1,0,0,0
1,male,17,0,0,47.1,S,Mr,NA,113059,NA,,0,0,0,0
1,male,43,1,0,27.7208,C,Mr,NA,17765,D,40,0,0,2,0
2,male,20,0,0,13.8625,C,Mr,SCPARIS,2166,D,38,0,0,0,0
2,male,23,1,0,10.5,S,Mr,NA,28666,NA,,0,0,0,0
1,male,50,1,1,211.5,C,Mr,NA,113503,C,80,0,1,0,1
3,female,,0,0,7.7208,Q,Miss,NA,334915,NA,,0,0,0,0
3,female,3,1,1,13.775,S,Miss,SOTON,3101315,NA,,1,0,0,0
3,female,,0,0,7.75,Q,Miss,NA,365237,NA,,0,0,0,0
1,female,37,1,0,90,Q,Mrs,NA,19928,C,78,0,0,1,1
3,female,28,0,0,7.775,S,Miss,NA,347086,NA,,0,0,0,0
3,male,,0,0,8.05,S,Mr,A,3236,NA,,0,0,0,0
1,female,39,0,0,108.9,C,Royal,P,17758,C,105,0,0,0,0
3,male,38.5,0,0,7.25,S,Mr,SOTON,3101262,NA,,0,0,0,0
3,male,,0,0,8.05,S,Mr,NA,359309,NA,,0,0,0,0
3,male,,1,1,22.3583,C,Master,NA,2668,NA,,1,0,2,0
